Name	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
t̠ʃʷʰ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	+1	-1	-1	-1	-1	-1
t̠ʃʷʼ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
t̠ʃʼ	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
tʼ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	-1	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
x	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
x͈	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
xʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
x͈ʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	+1	-1	-1	-1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
z	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	-1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
ʒ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	-1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
χ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
χ͈	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
χʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
χ͈ʷ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	+1	-1	-1	0	0	0	+1	-1	-1	-1	+1	0	0	0	-1	-1	-1	-1	+1	-1	-1	-1
a̟ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	+1	0	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ç̟	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	-1	+1	+1	-1	+1	-1	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
d̻	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	-1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
d̻z̻	0	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	0	0	+1	+1	+1	+1	-1	0	0	0	0	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
e̞ː	0	-1	+1	-1	+1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	+1	-1	0	-1	-1	+1	-1	-1	-1	0	-1	-1	0
ɜ	0	-1	+1	-1	-1	-1	+1	+1	0	+1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	0	-1	-1	0
f	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
fʼ	0	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1	-1	+1	-1	+1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	-1	-1	+1	-1	+1	-1	-1
ɡ̟ʲ	0	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	0	0	+1	+1	-1	+1	-1	0	0	0	+1	-1	-1	-1	-1	-1	-1	-1
